CENTER_NAME,name,LATITUDE,LONGITUDE,URL,,,,,
Solecitos Home Daycare,Solecitos Home Daycare,35.92174694,-78.94781366,https://www.care.com/b/l/solecitos-home-daycare/durham-nc,,,,,
Smiling Faces Academy,Smiling Faces Academy,36.00017032,-78.83316405,https://smiling-faces-academy.business.site,,,,,
Small Wonders Day Care,Small Wonders Day Care,35.96821006,-78.89128333,https://childcarecenter.us/provider_detail/small_wonders_day_care_durham_nc,,,,,
Sharon Winston Family Daycare Home,Sharon Winston Family Daycare Home,35.88661666,-78.91759784,https://childcarecenter.us/provider_detail/sharon_winston_family_daycare_home_durham_nc,,,,,
Ruby's Rock-a-Bye Baby,Ruby's Rock-a-Bye Baby,35.98885249,-78.89362345,https://childcarecenter.us/provider_detail/rubys_rock_a_bye_baby_durham_nc,,,,,
Rochelle Sanders Day Care Home,Rochelle Sanders Day Care Home,35.92203659,-78.90262,https://childcarecenter.us/provider_detail/rochelle_sanders_day_care_home_durham_nc,,,,,
Raven's Wonderland,Raven's Wonderland,36.00945824,-78.85394719,https://www.wonderschool.com/nc/durham/raven'-s-wonderland-child-care-7130,,,,,
"Randy's Five Star Academy, Inc.","Randy's Five Star Academy, Inc.",35.96342719,-78.84762243,https://durhamprek.org/randys-five-star-academy-inc/,,,,,
Quality Academy Home Day Care Center,Quality Academy Home Day Care Center,35.98460833,-78.85232399,https://childcarecenter.us/provider_detail/quality_academy_home_day_care_durham_nc,,,,,
Passion for Learning Childcare Center,Passion for Learning Childcare Center,35.99507159,-78.87433737,https://www.countyoffice.org/passion-for-learning-childcare-center-durham-nc-2fb/,,,,,
Peggie Moore Day Care Home,Peggie Moore Day Care Home,36.00541459,-78.8724576,https://childcarecenter.us/provider_detail/peggie_moore_day_care_home_durham_nc,,,,,
Play St8tion Child Development Home,Play St8tion Child Development Home,36.02036871,-78.84735357,https://tootris.com/nc/durham/durham/play-st8tion-child-development-home-family-child-care,,,,,
Pooh's Corner Family Child Care,Pooh's Corner Family Child Care,35.96022168,-78.89692451,https://childcarecenter.us/provider_detail/poohs_corner_family_child_care_durham_nc,,,,,
Paradise Escapades,Paradise Escapades,35.95261192,-78.87624575,https://childcarecenter.us/provider_detail/paradise_escapades_durham_nc,,,,,
"Palmer Step 1, 2, 3, Day Care","Palmer Step 1, 2, 3, Day Care",36.01206716,-78.85420057,https://childcarecenter.us/provider_detail/palmer_step_1_2_3_day_care_durham_nc,,,,,
Over the Rainbow Family Daycare,Over the Rainbow Family Daycare,36.0132862,-78.81632123,https://childcarecenter.us/provider_detail/over_the_rainbow_family_daycare_durham_nc,,,,,
Nanna's Babies,Nanna's Babies,35.95263797,-78.87568785,https://www.nannasbabies.org,,,,,
Mary's Lil Lambs,Mary's Lil Lambs,35.99591945,-78.80361826,https://childcarecenter.us/provider_detail/marys_lil_lambs_durham_nc,,,,,
McDougal Terrace Head Start,McDougal Terrace Head Start,35.97487644,-78.89035476,https://prek.club/day-care-school/mcdougald-terrace-head-start,,,,,
Mrs. Trudie's Day Care,Mrs. Trudie's Day Care,35.9974089,-78.83091976,https://childcarecenter.us/provider_detail/mrs_trudies_daycare_durham_nc,,,,,
Los Globitos Home Day Care,Los Globitos Home Day Care,36.07625442,-78.94408524,https://childcarecenter.us/provider_detail/los_globitos_home_day_care_durham_nc,,,,,
